20140901,389720603.7187889,311480462.6493665
20140902,304925622.73765075,268861003.7818068
20140903,346152381.5726294,347253255.7024522
20140904,348340705.0192499,282115356.89654326
20140905,297131546.940187,252459205.7155136
20140906,228285752.15815273,162999637.8035732
20140907,186513999.35334212,156418488.28407854
20140908,356247875.2187888,324238330.6493664
20140909,342460427.5709842,294280547.7818069
20140910,391306235.4059626,309813900.2024521
20140911,318800112.3525833,294696350.89654315
20140912,243214602.44018698,252051437.21551362
20140913,176422413.65815264,190914055.13690642
20140914,173724849.35334226,214000898.11741194
20140915,360197694.718789,306923118.64936644
20140916,371210298.57098407,362742612.11514014
20140917,303192359.7392962,349132557.2024523
20140918,312680593.3525832,269454627.8965432
20140919,252196051.60685366,258013429.8821804
20140920,219546612.15815285,153682784.8035733
20140921,184364444.02000886,200713561.28407845
20140922,307409256.21878904,337985553.1493664
20140923,285097040.2376509,312824509.9484735
20140924,287388754.4059627,347752844.53578556
20140925,275376240.6859164,305232879.7298766
20140926,218886479.10685372,308870612.71551365
20140927,166774193.82481945,234765859.9702401
20140928,169126544.6866754,264991643.45074522
20140929,308691056.5521224,345849414.4826998
20140930,296108983.4043173,343985733.7818068
