SaleID,price
200000,1269.4817818208646
200001,1968.6557439060002
200002,8661.745186720425
200003,1155.694898328666
200004,1974.6117144120708
200005,1108.8862327704724
200006,440.3108542886429
200007,3326.4109724424816
200008,13981.202750958066
200009,595.6092986804297
200010,662.1041045220132
200011,2552.5602582194815
200012,5955.378191262589
200013,7199.132936895914
200014,1321.2649322568584
200015,249.05417249640132
200016,1709.0395298462033
200017,8275.699180444946
200018,6757.913599930336
200019,629.6924302906507
200020,24524.860401462196
200021,7649.002232967605
200022,1988.2170368282614
200023,1543.487518506839
200024,910.4253059798036
200025,8006.664682839214
200026,548.1066651419609
200027,12285.357690191584
200028,3980.3902737144285
200029,7959.72008213808
200030,18220.404842674452
200031,13217.924211806081
200032,606.6465285783916
200033,14570.12427431728
200034,747.9026675046841
200035,2009.2650571621375
200036,14131.474298656582
200037,5663.994222607361
200038,1589.0116810656937
200039,351.8913119454808
200040,596.1301724337777
200041,26046.26328298975
200042,451.2204515683309
200043,7521.62972611813
200044,18707.510126908437
200045,494.20320429841837
200046,15433.491016575947
200047,17442.817471333678
200048,2251.1914326606648
200049,3237.86352815809
200050,446.1368790538961
200051,4413.295438816697
200052,2905.1338638554616
200053,482.89264584602734
200054,13526.807212519609
200055,10665.544080033862
200056,5639.788657609959
200057,3321.480243188569
200058,975.4511172117847
200059,5239.903853767889
200060,8268.953851736853
200061,1137.3811321121814
200062,5642.846224041944
200063,8285.436468751746
200064,1295.6375755125273
200065,1672.360465765501
200066,493.05106824366175
200067,9873.431473819535
200068,197.38260077263448
200069,17475.67505209688
200070,9180.967358108863
200071,313.3614443232948
200072,6770.3641482791545
200073,18091.13561025816
200074,4139.148945610898
200075,12836.22798700266
200076,2941.2479802799744
200077,319.6326064318481
200078,350.37719662049153
200079,3009.517649409764
200080,3067.64456694326
200081,2085.5827697399213
200082,4320.0543100271625
200083,405.4801797567891
200084,1194.0748213908255
200085,1511.9098359838633
200086,6961.149828792461
200087,3356.729927333293
200088,2599.5694990117768
200089,41513.78693063419
200090,2500.5591430968425
200091,204.69637123056825
200092,1480.6928450058372
200093,16333.85480789324
200094,6561.35123806692
200095,6030.809463540115
200096,2429.286152348432
200097,1194.9240443640467
200098,452.74255344666034
200099,23138.42877877361
200100,21424.740648150742
200101,7198.337436271326
200102,1792.7593807122294
200103,11040.234342359001
200104,5281.875584429123
200105,4439.221723493981
200106,8201.925905723947
200107,2266.291123400957
200108,13990.419258908292
200109,7794.69452595736
200110,629.9196484175725
200111,1985.2666499133343
